category,country,state,subCategory,profit,sales
Furniture,Denmark,South Denmark,Furnishings,-70.014,120.816
Furniture,Denmark,South Denmark,Chairs,-77.895,86.535
Furniture,United States,South Dakota,Chairs,27.441,182.94
Furniture,United States,South Dakota,Bookcases,39.7488,141.96
Furniture,United States,South Carolina,Furnishings,69.7679,540.31
Furniture,United States,South Carolina,Chairs,543.076,2537.94
Furniture,Australia,South Australia,Tables,-264.165,913.185
Furniture,Australia,South Australia,Furnishings,419.217,2311.077
Furniture,Australia,South Australia,Chairs,1335.084,15029.694
Furniture,Australia,South Australia,Bookcases,1493.004,8162.964
Furniture,El Salvador,Sonsonate,Chairs,1019.68,2731.84
Furniture,El Salvador,Sonsonate,Bookcases,6.6,664.56
Furniture,Mexico,Sonora,Furnishings,-91.864,807.876
Furniture,Mexico,Sonora,Chairs,44.652,775.712
Furniture,Mexico,Sonora,Bookcases,247.224,1917.904
Furniture,Nigeria,Sokoto,Chairs,-27.738,16.632
Furniture,Bulgaria,Sofiya-Grad,Tables,4.98,249.57
Furniture,Bulgaria,Sofiya-Grad,Furnishings,19.41,108.75
Furniture,Bulgaria,Sofiya-Grad,Chairs,138.15,408.69
Furniture,Bulgaria,Sofiya-Grad,Bookcases,421.62,1120.98
Furniture,Mozambique,Sofala,Chairs,158.94,369.72
Furniture,Mozambique,Sofala,Bookcases,26.46,126.03
Furniture,Bulgaria,Sliven,Bookcases,90.12,391.86
Furniture,Sweden,Skåne,Chairs,-25.92,184.86
Furniture,Sweden,Skåne,Bookcases,-140.01,170.73
Furniture,Turkey,Sivas,Chairs,-43.956,46.224
Furniture,Iran,Sistan Va Baluchestan,Furnishings,53.46,213.84
Furniture,Iran,Sistan Va Baluchestan,Chairs,318.9,946.68
Furniture,Singapore,Singapore,Tables,164.4,1495.35
Furniture,Singapore,Singapore,Furnishings,116.67,499.65
Furniture,Singapore,Singapore,Chairs,1140.51,3492.6
Furniture,Singapore,Singapore,Bookcases,815.19,4854.03
Furniture,Pakistan,Sindh,Tables,-390.264,108.396
Furniture,Pakistan,Sindh,Furnishings,-4.14,82.8
Furniture,Pakistan,Sindh,Chairs,-.756000000,1819.824
Furniture,Pakistan,Sindh,Bookcases,-115.572,660.288
Furniture,Mexico,Sinaloa,Furnishings,-77.712,522.528
Furniture,Mexico,Sinaloa,Chairs,870.96,6296.56
Furniture,Mexico,Sinaloa,Bookcases,457.148,2289.168
Furniture,Poland,Silesia,Tables,744.57,3347.1
Furniture,Poland,Silesia,Furnishings,106.14,422.19
Furniture,Poland,Silesia,Chairs,414.54,1089.45
Furniture,Poland,Silesia,Bookcases,689.7,1780.11
Furniture,Mali,Sikasso,Chairs,317.16,1094.22
Furniture,Italy,Sicily,Tables,-76.77,319.77
Furniture,Italy,Sicily,Furnishings,131.04,1081.5
Furniture,Italy,Sicily,Chairs,-575.25,920.4
Furniture,Italy,Sicily,Bookcases,511.35,3822.18
Furniture,China,Sichuan,Tables,-326.97,1760.43
Furniture,China,Sichuan,Furnishings,228.66,733.8
Furniture,China,Sichuan,Chairs,419.4,4241.31
Furniture,China,Sichuan,Bookcases,1355.49,6798.18
Furniture,Romania,Sibiu,Furnishings,70.32,880.32
Furniture,Lithuania,Šiauliai,Furnishings,-25.932,22.788
Furniture,Japan,Shizuoka,Furnishings,24.12,201.48
Furniture,China,Shanxi,Tables,-224.304,2511.096
Furniture,China,Shanxi,Furnishings,180.48,504.45
Furniture,China,Shanxi,Chairs,334.17,1830.57
Furniture,China,Shanxi,Bookcases,39.42,1314.45
Furniture,China,Shanghai,Tables,-36.288,1269.912
Furniture,China,Shanghai,Furnishings,46.2,226.14
Furniture,China,Shanghai,Chairs,2615.88,7527.39
Furniture,China,Shanghai,Bookcases,177.9,822.81
Furniture,China,Shandong,Tables,-555.789,2758.791
Furniture,China,Shandong,Furnishings,238.32,1728.87
Furniture,China,Shandong,Chairs,1787.73,9815.82
Furniture,China,Shandong,Bookcases,3021.12,11092.32
Furniture,China,Shaanxi,Tables,109.089,636.489
Furniture,China,Shaanxi,Furnishings,8.88,31.74
Furniture,China,Shaanxi,Chairs,349.95,1901.85
Furniture,China,Shaanxi,Bookcases,102.3,853.5
Furniture,Ukraine,Sevastopol',Bookcases,319.74,726.78
Furniture,Portugal,Setúbal,Bookcases,-11.025,182.295
Furniture,Brazil,Sergipe,Furnishings,31.76,138.4
Furniture,Brazil,Sergipe,Chairs,57.48,577.62
Furniture,South Korea,Seoul,Tables,-780.642,312.228
Furniture,South Korea,Seoul,Furnishings,76.356,1203.816
Furniture,South Korea,Seoul,Chairs,-100.344,674.976
Furniture,South Korea,Seoul,Bookcases,79.626,3512.616
Furniture,Malaysia,Selangor,Chairs,266.46,756.06
Furniture,Malaysia,Selangor,Bookcases,437.88,1078.38
Furniture,United Kingdom,Scotland,Tables,576.18,1961.52
Furniture,United Kingdom,Scotland,Furnishings,-65.739,633.591
Furniture,United Kingdom,Scotland,Chairs,272.76,849.87
Furniture,United Kingdom,Scotland,Bookcases,1665.18,4936.44
Furniture,Germany,Schleswig-Holstein,Chairs,89.979,426.249
Furniture,Germany,Saxony-Anhalt,Furnishings,122.61,539.88
Furniture,Germany,Saxony-Anhalt,Bookcases,149.172,670.842
Furniture,Germany,Saxony,Tables,-478.065,1726.335
Furniture,Germany,Saxony,Furnishings,63.63,347.52
Furniture,Germany,Saxony,Chairs,56.775,3394.425
Furniture,Germany,Saxony,Bookcases,-9.876000000,182.934
Furniture,Romania,Satu Mare,Bookcases,374.58,1032.54
Furniture,Canada,Saskatchewan,Furnishings,15.48,49.98
Furniture,Italy,Sardinia,Tables,-113.7,631.5
Furniture,Italy,Sardinia,Furnishings,29.76,102.78
Furniture,Italy,Sardinia,Bookcases,20.1,287.94
Furniture,Brazil,São Paulo,Tables,205.168,7854.288
Furniture,Brazil,São Paulo,Furnishings,1259.92,4119.5
Furniture,Brazil,São Paulo,Chairs,2456.268,9762.868
Furniture,Brazil,São Paulo,Bookcases,3206.06,12054.6
Furniture,Dominican Republic,Santo Domingo,Tables,-1381.602,1360.818
Furniture,Dominican Republic,Santo Domingo,Furnishings,-1537.4,2193.32
Furniture,Dominican Republic,Santo Domingo,Chairs,330.668,13679.888
Furniture,Dominican Republic,Santo Domingo,Bookcases,-1954.26,9047.28
Furniture,Argentina,Santiago del Estero,Chairs,-59.108,208.572
Furniture,Cuba,Santiago de Cuba,Tables,1449.02,5147.08
Furniture,Cuba,Santiago de Cuba,Furnishings,143.32,982.14
Furniture,Cuba,Santiago de Cuba,Chairs,938.76,3801.48
Furniture,Cuba,Santiago de Cuba,Bookcases,681.12,3600
Furniture,Dominican Republic,Santiago,Tables,-1467.864,899.976
Furniture,Dominican Republic,Santiago,Furnishings,-369.26,485.7
Furniture,Dominican Republic,Santiago,Chairs,95.668,1958.208
Furniture,Dominican Republic,Santiago,Bookcases,-112.076,829.104
Furniture,Chile,Santiago,Tables,31.256,500.576
Furniture,Chile,Santiago,Furnishings,26.1,132.58
Furniture,Chile,Santiago,Chairs,1236.96,6482.22
Furniture,Chile,Santiago,Bookcases,601.88,1980.54
Furniture,Colombia,Santander,Chairs,423.16,2440.2
Furniture,Colombia,Santander,Bookcases,138,561.14
Furniture,Argentina,Santa Fe,Furnishings,-294.8,565.92
Furniture,Argentina,Santa Fe,Chairs,-304.064,727.296
Furniture,Argentina,Santa Fe,Bookcases,-423.368,1503.552
Furniture,Bolivia,Santa Cruz,Chairs,31.28,225.4
Furniture,Brazil,Santa Catarina,Tables,-998.616,1269.784
Furniture,Brazil,Santa Catarina,Furnishings,-36.484000000,855.996
Furniture,Brazil,Santa Catarina,Chairs,254.112,3446.272
Furniture,Brazil,Santa Catarina,Bookcases,-84.244000000,2706.176
Furniture,El Salvador,Santa Ana,Furnishings,29.76,171.24
Furniture,El Salvador,Santa Ana,Chairs,183.16,1247.72
Furniture,El Salvador,Santa Ana,Bookcases,937.36,3705.94
Furniture,Cuba,Sancti Spíritus,Furnishings,44.64,143.6
Furniture,Cuba,Sancti Spíritus,Chairs,374.32,962.62
Furniture,El Salvador,San Salvador,Tables,2210.812,15488.912
Furniture,El Salvador,San Salvador,Furnishings,1265.58,5872.28
Furniture,El Salvador,San Salvador,Chairs,6395.56,21811.98
Furniture,El Salvador,San Salvador,Bookcases,4997.08,19114.22
Furniture,Dominican Republic,San Pedro de Macorís,Tables,-1889.634,898.686
Furniture,Dominican Republic,San Pedro de Macorís,Furnishings,-25.06,63.66
Furniture,Dominican Republic,San Pedro de Macorís,Chairs,50.356,835.696
Furniture,Dominican Republic,San Pedro de Macorís,Bookcases,-268.2,468.06
Furniture,Mexico,San Luis Potosí,Tables,36.384,485.904
Furniture,Mexico,San Luis Potosí,Furnishings,-40.556,114.564
Furniture,Mexico,San Luis Potosí,Chairs,114.876,834.096
Furniture,Mexico,San Luis Potosí,Bookcases,223.548,662.448
